WeatherPy_Database_csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
463,Grindavik,IS,63.8424,-22.4338,34.27,93,75,3.44,broken clouds
464,San Miguel De Cauri,PE,-10.1,-76.5833,54.18,61,100,6.08,overcast clouds
465,Ketchikan,US,55.3422,-131.6461,37.38,93,90,4.61,light rain
466,Vila,PT,42.0304,-8.1588,47.34,69,54,9.57,broken clouds
467,Nizhnyaya Omka,RU,55.4338,74.9426,24.35,93,99,15.08,light snow
468,Carbonia,IT,39.1672,8.5222,65.98,72,10,7.72,clear sky
469,Presidente Medici,BR,-11.1753,-61.9014,85.6,65,100,5.06,overcast clouds
470,Uppsala,SE,60.0,17.75,35.78,75,0,6.91,clear sky
471,Daru,PG,-9.0763,143.2092,79.56,81,21,7.7,few clouds
472,Lukovetskiy,RU,64.2956,41.9211,21.18,96,55,7.4,broken clouds
473,Isangel,VU,-19.55,169.2667,77.22,89,100,7.63,overcast clouds
474,Haimen,CN,23.1935,116.6142,60.69,67,53,10.74,broken clouds
475,Selma,US,36.5708,-119.6121,45.09,36,18,3.13,few clouds
476,Ilulissat,GL,69.2167,-51.1,10.42,56,20,27.63,few clouds
477,Marawi,PH,7.9986,124.2928,69.66,94,100,1.43,overcast clouds
478,Gornyak,RU,50.9942,81.4661,34.3,98,100,22.1,light snow
479,Yarmouth,US,41.7057,-70.2286,41.09,68,75,13.8,broken clouds
480,Baruun-Urt,MN,46.6806,113.2792,5.54,87,92,1.74,overcast clouds
481,Manacapuru,BR,-3.2997,-60.6206,84.78,59,100,4.72,overcast clouds
482,Longyan,CN,25.1072,117.0225,48.2,88,52,3.65,broken clouds
483,Lamu,KE,-2.2717,40.902,86.22,77,96,12.57,overcast clouds
484,Wabana,CA,47.6332,-52.9481,40.37,83,90,21.85,overcast clouds
485,Phon,TH,15.816,102.5998,75.85,65,92,13.56,overcast clouds
486,Monze,ZM,-16.2833,27.4833,81.73,44,65,4.25,broken clouds
487,Freeport,US,40.6576,-73.5832,39.42,57,1,10.0,clear sky
488,Palana,RU,59.1167,159.9667,24.28,67,11,13.18,few clouds
489,Sisimiut,GL,66.9395,-53.6735,14.49,67,97,19.55,overcast clouds
490,Buenos Aires,AR,-34.6132,-58.3772,75.78,40,0,8.03,clear sky
491,Honiara,SB,-9.4333,159.95,77.49,87,27,6.38,scattered clouds
492,Key West,US,24.5557,-81.7826,75.2,63,20,13.8,few clouds
493,Bubaque,GW,11.2833,-15.8333,82.83,76,5,7.63,clear sky
494,Lompoc,US,34.6391,-120.4579,61.12,59,1,4.61,clear sky
495,Le Port,RE,-20.9373,55.2919,78.8,91,66,1.72,broken clouds
496,Sembe,CG,1.6481,14.5806,79.45,73,100,2.55,overcast clouds
497,Barra Patuca,HN,15.8,-84.2833,79.83,80,65,10.94,broken clouds
498,Along,IN,28.1667,94.7667,57.94,89,13,1.95,few clouds
499,Gizo,SB,-8.103,156.8419,82.85,77,76,8.72,light rain
500,Coihaique,CL,-45.5752,-72.0662,63.21,63,75,6.91,broken clouds
501,Lisakovsk,KZ,52.5369,62.4936,17.28,89,88,13.11,overcast clouds
502,Hay River,CA,60.8156,-115.7999,1.38,71,75,8.05,light snow
503,Pahrump,US,36.2083,-115.9839,55.18,30,98,5.44,overcast clouds
504,Esil,KZ,51.9556,66.4042,17.73,92,28,10.2,scattered clouds
505,Putina,PE,-15.4667,-69.4333,52.97,47,100,5.41,overcast clouds
506,Sinnamary,GF,5.3833,-52.95,84.85,67,99,8.16,overcast clouds
507,Virginia Beach,US,36.8529,-75.978,42.04,59,29,1.99,scattered clouds
508,Kedrovyy,RU,56.1667,91.8167,32.41,79,98,14.45,overcast clouds
509,Ipixuna,BR,-1.7625,-48.8043,87.75,47,98,4.27,overcast clouds
510,Santa Cruz,BO,-17.8,-63.1667,86.05,70,75,16.11,broken clouds
511,Pierre,US,44.3683,-100.351,29.32,74,1,0.0,clear sky
512,Kieta,PG,-6.2167,155.6333,79.14,85,93,3.69,moderate rain
513,Corrente,BR,-3.7367,-43.3394,97.5,35,43,4.85,scattered clouds
514,Puerto Cabezas,NI,14.0351,-83.3888,78.76,94,40,9.22,scattered clouds
515,San Rafael,AR,-34.6177,-68.3301,80.67,21,0,5.41,clear sky
516,Tagab,AF,34.855,69.6492,55.29,26,30,3.0,scattered clouds
517,Raudeberg,NO,61.9875,5.1352,48.2,96,100,11.01,overcast clouds
518,Den Helder,NL,52.9599,4.7593,52.02,84,75,5.99,broken clouds
519,Kulu,TR,39.0951,33.0799,53.31,61,100,8.52,overcast clouds
520,Rio Grande,BR,-32.035,-52.0986,75.31,53,1,15.21,clear sky
521,Bushehr,IR,28.9684,50.8385,75.29,69,0,19.57,clear sky
522,Kruisfontein,ZA,-34.0033,24.7314,63.88,60,74,13.44,broken clouds
523,Deputatskiy,RU,69.3,139.9,-28.93,99,34,3.42,scattered clouds
524,Isiro,CD,2.7739,27.616,80.96,57,6,1.9,clear sky
525,Antofagasta,CL,-23.65,-70.4,70.21,54,71,7.2,broken clouds
526,Sulangan,PH,11.1373,123.7228,83.91,70,100,15.61,overcast clouds
527,Paamiut,GL,61.994,-49.6678,24.55,66,100,12.75,overcast clouds
528,Puerto Escondido,MX,15.85,-97.0667,82.69,55,2,1.59,clear sky
529,Tautira,PF,-17.7333,-149.15,77.02,75,54,2.17,light rain
530,Narasannapeta,IN,18.4167,84.05,78.33,85,36,5.03,scattered clouds
531,Kibaha,TZ,-6.7667,38.9167,89.69,56,82,11.95,broken clouds
532,Puerto Del Rosario,ES,28.5004,-13.8627,73.08,83,20,5.75,few clouds
533,Changji,CN,44.0167,87.3167,23.79,80,48,2.24,scattered clouds
534,Maldonado,UY,-34.6667,-54.9167,62.22,38,0,10.98,clear sky
535,Pacific Grove,US,36.6177,-121.9166,57.58,57,1,0.0,clear sky
536,Zaraza,VE,9.3503,-65.3245,90.25,47,99,5.5,overcast clouds
537,Samana,DO,19.2056,-69.3369,80.82,78,40,4.61,scattered clouds
538,Tsabong,BW,-26.0217,22.401,86.09,16,0,12.35,clear sky
539,Tessalit,ML,20.1986,1.0114,89.11,19,89,13.0,overcast clouds
540,Alpena,US,45.0617,-83.4327,32.11,76,1,5.99,clear sky
541,Mareeba,AU,-17.0,145.4333,74.44,94,98,2.37,overcast clouds
542,Kijang,KR,35.2442,129.2139,42.53,66,7,12.48,clear sky
543,Talara,PE,-4.5772,-81.2719,70.56,73,40,16.11,scattered clouds
544,Sabha,LY,27.0377,14.4283,79.3,22,100,5.73,overcast clouds
545,Fort Saint James,CA,54.4333,-124.25,27.18,90,100,2.48,overcast clouds
546,Leningradskiy,RU,69.3833,178.4167,-13.58,83,79,4.65,broken clouds
547,Wamba,NG,8.9333,8.6,95.97,18,42,6.93,scattered clouds
548,Koulamoutou,GA,-1.1303,12.4736,91.78,83,89,0.81,light rain
549,Cumana,VE,10.4635,-64.1775,91.49,70,90,2.3,overcast clouds
550,Wharton,US,29.3116,-96.1027,59.09,86,1,0.0,clear sky
551,Margherita,IN,27.2833,95.6833,63.36,90,74,2.48,broken clouds
552,Yumbel,CL,-37.0833,-72.5667,70.03,19,0,8.3,clear sky
553,Trinidad,BO,-14.8333,-64.9,85.98,74,75,11.5,broken clouds
554,Santa Vitoria,BR,-18.8386,-50.1214,89.6,53,56,1.59,broken clouds
555,Villa Bruzual,VE,9.3328,-69.1208,86.83,55,100,4.07,overcast clouds
556,Ekhabi,RU,53.5102,142.9671,33.67,97,100,34.05,light rain
557,Inuvik,CA,68.3499,-133.7218,-7.56,77,90,2.3,light snow
558,Waipawa,NZ,-41.4122,175.5153,51.03,83,94,2.66,overcast clouds
559,Esqueda,MX,30.7167,-109.5833,58.3,36,100,1.66,overcast clouds
560,Vitim,RU,59.4511,112.5578,-10.73,97,98,1.36,overcast clouds
561,Chipata,ZM,-13.6333,32.65,91.87,19,71,6.64,broken clouds
562,Bridgend,GB,51.5058,-3.5772,50.99,79,9,1.01,clear sky
563,Kalmunai,LK,7.4167,81.8167,77.74,90,100,8.39,overcast clouds
564,Tiksi,RU,71.6872,128.8694,-21.06,97,91,6.78,overcast clouds
565,Bimbo,CF,4.2567,18.4158,89.91,38,73,4.47,broken clouds
566,Flin Flon,CA,54.7682,-101.865,13.84,92,90,4.61,light snow
567,Amapa,BR,1.0,-52.0,90.79,44,66,4.76,broken clouds
568,Gigmoto,PH,13.7796,124.39,79.52,84,15,8.32,few clouds
569,Marondera,ZW,-18.1853,31.5519,68.14,72,99,3.13,light rain
570,Siuna,NI,13.7332,-84.7773,79.21,65,100,4.7,overcast clouds
571,Byron Bay,AU,-28.65,153.6167,71.55,89,42,6.11,light rain
572,Shenjiamen,CN,29.9576,122.298,47.5,49,2,9.24,clear sky
573,Djenne,ML,13.9061,-4.5533,99.27,11,1,15.17,clear sky
574,Sovetskiy,RU,61.3614,63.5842,10.98,92,96,8.1,overcast clouds
575,Arlit,NE,18.7369,7.3853,94.24,11,11,7.96,few clouds
576,Kibaya,TZ,-5.3,36.5667,74.21,43,93,4.88,overcast clouds
577,Padre Bernardo,BR,-15.35,-48.5,82.94,60,100,2.15,overcast clouds
578,Broome,US,42.2506,-75.833,33.06,76,90,1.99,light snow
579,Takoradi,GH,4.8845,-1.7554,83.79,71,17,8.72,light rain
580,Iquitos,PE,-3.7481,-73.2472,84.24,74,75,6.91,broken clouds
581,Mumford,GH,5.2618,-0.759,83.88,71,10,11.07,clear sky
582,Jardim,BR,-21.4803,-56.1381,97.5,36,51,4.27,broken clouds
583,Ndele,CF,8.4109,20.6473,93.47,20,31,5.7,scattered clouds
584,Sao Filipe,CV,14.8961,-24.4956,81.68,63,40,6.69,scattered clouds
585,Baoqing,CN,46.3317,132.2111,14.79,78,100,19.42,overcast clouds
586,Salaya,IN,22.3167,69.6,79.9,50,35,9.6,scattered clouds
587,Tromso,NO,69.6496,18.957,32.02,86,75,1.01,light snow
588,Girvan,GB,55.2426,-4.8555,50.0,83,89,9.46,overcast clouds
589,Fayaoue,NC,-20.65,166.5333,78.19,81,100,13.67,overcast clouds
590,Najran,SA,17.4924,44.1277,81.25,17,58,9.42,broken clouds
591,Goure,NE,13.9835,10.2704,96.03,10,3,11.83,clear sky
592,Kupang,ID,-10.1667,123.5833,82.31,78,96,2.95,overcast clouds
593,Besikduzu,TR,41.052,39.2284,60.69,70,100,4.88,overcast clouds
594,Morondava,MG,-20.2833,44.2833,81.75,76,97,13.85,overcast clouds
595,Qaqortoq,GL,60.7167,-46.0333,19.9,65,83,5.21,broken clouds
596,Bilibino,RU,68.0546,166.4372,-22.59,91,11,3.31,few clouds
597,Mariestad,SE,58.7097,13.8237,39.85,91,78,8.5,broken clouds
598,Santa Marinella,IT,42.0345,11.8536,62.89,78,100,10.96,overcast clouds
599,High Level,CA,58.5169,-117.136,5.11,78,75,11.5,light snow
600,Rivne,UA,50.6231,26.2274,33.84,100,75,13.42,shower sleet
601,Vao,NC,-22.6667,167.4833,73.8,79,99,8.75,overcast clouds
602,Miri,MY,4.4148,114.0089,75.34,94,40,17.27,heavy intensity rain
603,Anchorage,US,61.2181,-149.9003,8.76,83,90,0.0,light snow
604,Irpa Irpa,BO,-17.7167,-66.2667,77.25,40,100,5.37,overcast clouds
605,Ancud,CL,-41.8697,-73.8203,68.43,73,62,6.93,broken clouds
606,Vanimo,PG,-2.6741,141.3028,79.03,86,100,3.94,overcast clouds
607,Ribeira Brava,PT,32.65,-17.0667,72.23,75,100,2.1,overcast clouds
608,Benjamin Hill,MX,30.1667,-111.1,65.32,35,100,7.02,overcast clouds
609,Porto Velho,BR,-8.7619,-63.9039,82.45,74,40,2.3,scattered clouds
610,Tabou,CI,4.423,-7.3528,83.75,71,35,7.02,scattered clouds
611,Inirida,CO,3.8653,-67.9239,87.42,63,92,2.73,overcast clouds
612,Ukhta,RU,63.5671,53.6835,12.94,90,100,5.28,overcast clouds
613,Komsomolskiy,UZ,40.4272,71.7189,45.82,45,78,2.3,haze
614,Chernenko,RU,44.365,39.3103,52.83,81,96,12.91,moderate rain
615,San Cristobal,VE,7.7669,-72.225,69.98,85,91,4.36,overcast clouds
616,Eirunepe,BR,-6.6603,-69.8736,81.05,78,100,0.85,overcast clouds
617,Abu Dhabi,AE,24.4667,54.3667,84.22,70,0,9.22,clear sky
618,El Real De Santa Maria,PA,8.109,-77.7325,75.47,97,100,1.83,overcast clouds
619,Luderitz,NA,-26.6481,15.1594,70.88,62,0,28.1,clear sky
620,Port Hueneme,US,34.1478,-119.1951,68.25,28,1,4.61,clear sky
621,Askarovo,RU,53.3372,58.5089,20.35,68,75,4.47,light shower snow
622,Aksehir,TR,38.3575,31.4164,52.3,68,100,5.55,overcast clouds
623,Miranda,CO,3.2499,-76.2281,66.33,80,100,5.21,overcast clouds
624,Taoudenni,ML,22.6783,-3.9836,91.4,21,99,7.85,overcast clouds
625,Huambo,AO,-12.7761,15.7392,78.6,50,75,9.22,broken clouds
626,Sinop,TR,41.7711,34.8709,49.98,67,77,3.06,broken clouds
627,Krasnoselkup,RU,65.7,82.4667,20.89,93,100,13.44,overcast clouds
628,Salalah,OM,17.0151,54.0924,82.49,51,0,8.05,clear sky
629,Winnemucca,US,40.973,-117.7357,32.11,74,1,3.44,clear sky
630,Llanes,ES,43.4198,-4.7549,55.89,81,100,11.63,overcast clouds
631,Dalbandin,PK,28.8947,64.4101,65.25,22,3,4.61,clear sky
632,Okhotsk,RU,59.3833,143.3,2.62,86,100,14.79,overcast clouds
633,Erzin,TR,36.9559,36.2,66.72,69,97,2.08,overcast clouds
634,Marovoay,MG,-16.1,46.6333,84.34,65,85,10.89,overcast clouds
635,Bissora,GW,12.2231,-15.4475,93.27,30,0,6.31,clear sky
636,Savannah Bight,HN,16.45,-85.85,84.0,76,84,17.85,broken clouds
637,Ponta Delgada,PT,37.7333,-25.6667,68.72,88,40,13.8,scattered clouds
638,Ampanihy,MG,-24.7,44.75,85.06,35,100,11.7,overcast clouds
639,Karratha,AU,-20.7377,116.8463,82.22,54,100,11.9,overcast clouds
640,Markova,UA,48.6758,24.4138,35.19,80,12,4.0,few clouds
641,Nelson,NZ,-41.2833,173.2833,58.69,97,94,1.01,overcast clouds
642,Moron,AR,-34.6534,-58.6198,75.79,34,0,5.99,clear sky
643,Arman,RU,59.7,150.1667,6.06,81,5,13.6,clear sky
644,Port Augusta,AU,-32.5,137.7667,70.7,63,100,12.21,overcast clouds
645,Guadalupe Victoria,MX,32.2869,-115.105,69.08,17,100,2.55,overcast clouds
646,Gallup,US,35.5281,-108.7426,27.36,46,1,0.0,clear sky
647,Garzon,CO,2.1959,-75.6278,73.65,83,79,2.46,light rain
648,Pithora,IN,21.2667,82.5167,73.8,63,0,1.92,clear sky
649,Ust-Nera,RU,64.5667,143.2,-18.15,95,100,2.04,overcast clouds
650,Balykshi,KZ,47.0667,51.8667,42.8,100,75,13.42,mist
651,Donskoye,RU,45.4552,41.9741,51.93,83,100,13.69,light rain
652,Wajir,KE,1.7471,40.0573,89.78,38,100,13.89,overcast clouds
653,Alofi,NU,-19.0595,-169.9187,67.89,94,97,1.14,overcast clouds
654,Sal Rei,CV,16.1833,-22.9167,86.2,51,0,19.57,clear sky
655,Berdigestyakh,RU,62.0989,126.6992,-8.61,93,100,1.45,overcast clouds
656,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.59,86,75,4.47,light snow
657,Smoky Lake,CA,54.1169,-112.4686,27.32,74,67,14.97,broken clouds
658,Jingdezhen,CN,29.2947,117.2079,41.32,64,0,0.81,clear sky
659,Calderitas,MX,18.55,-88.25,73.51,83,40,8.05,scattered clouds
660,Progreso,MX,21.2833,-89.6667,79.11,69,74,13.22,broken clouds
661,Manta,EC,-0.95,-80.7333,76.78,78,40,8.05,scattered clouds
662,Marsabit,KE,2.3284,37.9899,75.42,44,71,6.49,broken clouds
663,Ratnapura,LK,6.6828,80.3992,77.59,92,100,2.98,overcast clouds
664,Ures,MX,29.4333,-110.4,66.22,36,100,3.04,overcast clouds
665,Tefe,BR,-3.3542,-64.7114,78.91,94,75,5.75,heavy intensity rain
666,Krasnokholm,RU,51.5979,54.1567,19.99,91,100,2.51,overcast clouds
667,Makakilo City,US,21.3469,-158.0858,73.72,83,20,3.44,few clouds
668,Mao,ES,39.8885,4.2658,61.36,77,40,11.5,scattered clouds
669,Otjimbingwe,NA,-22.35,16.1333,93.76,4,0,7.02,clear sky
670,Husavik,IS,66.0449,-17.3389,31.91,78,100,7.07,overcast clouds
671,Bintulu,MY,3.1667,113.0333,79.21,94,40,1.99,scattered clouds
672,Pryazha,RU,61.6926,33.6216,13.23,99,88,1.95,overcast clouds
673,Alyangula,AU,-13.8483,136.4192,82.27,74,10,4.61,clear sky
674,Sile,TR,41.1754,29.6133,59.2,77,100,3.94,light rain
675,Nelson Bay,AU,-32.7167,152.15,66.99,95,100,9.82,overcast clouds
676,Monrovia,LR,6.3005,-10.7969,89.37,68,39,9.93,scattered clouds
677,Codrington,AU,-38.2667,141.9667,57.74,96,100,4.05,overcast clouds
678,Naze,JP,28.3667,129.4833,57.81,71,58,13.2,broken clouds
679,Noyabrsk,RU,63.1994,75.4507,10.17,94,100,11.99,overcast clouds
680,Novobirilyussy,RU,56.9514,90.6661,31.05,91,100,14.52,light snow
681,Domoni,KM,-12.2569,44.5319,80.89,74,74,5.99,broken clouds
682,Nemuro,JP,43.3236,145.575,39.4,65,96,15.5,overcast clouds
683,Melilla,ES,35.2937,-2.9383,62.8,72,20,8.05,few clouds
684,Nizwa,OM,22.9333,57.5333,78.21,18,10,3.31,clear sky
685,Qingdao,CN,36.0986,120.3719,31.6,64,0,4.47,clear sky
686,Listvyanka,RU,51.8535,104.8693,15.3,87,99,2.19,overcast clouds
687,Svetlyy Yar,RU,48.4748,44.781,35.2,99,100,9.4,light snow
688,Plettenberg Bay,ZA,-34.0527,23.3716,62.64,65,84,4.99,broken clouds
689,Sassandra,CI,4.95,-6.0833,84.78,67,19,7.31,few clouds
690,Juneau,US,58.3019,-134.4197,35.6,93,90,10.36,light rain
691,Pathein,MM,16.7833,94.7333,76.23,84,31,4.47,scattered clouds
692,Severnyy,RU,50.677,36.5532,28.44,74,75,4.47,broken clouds
693,Yishui,CN,35.7847,118.6281,34.74,48,0,3.69,clear sky
694,Broken Hill,AU,-31.95,141.4333,73.11,64,90,5.75,overcast clouds
695,Guryevsk,RU,54.2833,85.9333,32.11,87,92,18.16,light snow
